escenario,ejecucion,filas,cliente_ms,execution_time_ms,compilation_time_ms,total_time_ms,task_total_time_ms,read_bytes,read_files_count,pruned_files_count,rows_read_count,read_cache_bytes,read_remote_bytes,result_from_cache
1,1,100000,7606.0,5413,188,5608,10615,5175296,8,0,100000,3878974,1296322,False
1,2,100000,6472.929,4748,178,4932,4526,5184127,8,0,100000,4561234,622893,False
1,3,100000,1943.299,124,278,408,125,5183720,8,0,100000,5183720,0,False
1,4,100000,1828.731,94,185,285,118,5183720,8,0,100000,5183720,0,False
1,5,100000,1851.967,119,192,318,157,5183720,8,0,100000,5183720,0,False
2,1,100000,1930.621,97,263,366,113,5183720,8,0,100000,5183720,0,False
2,2,100000,1857.689,93,214,327,111,5183720,8,0,100000,5183720,0,False
2,3,100000,1761.125,94,230,331,111,5183720,8,0,100000,5183720,0,False
2,4,100000,1782.178,102,214,322,177,5183720,8,0,100000,5183720,0,False
2,5,100000,2078.34,89,271,366,106,5183720,8,0,100000,5183720,0,False
3,1,100000,1734.546,94,190,291,139,381970,8,472,100000,381970,0,False
3,2,100000,1754.189,83,173,283,80,381970,8,472,100000,381970,0,False
3,3,100000,1968.743,94,359,459,93,381970,8,472,100000,381970,0,False
3,4,100000,1834.839,92,197,295,106,381970,8,472,100000,381970,0,False
3,5,100000,1743.036,91,203,299,88,381970,8,472,100000,381970,0,False
4,1,100000,2649.463,253,252,511,178,3731971,1,0,100000,3731971,0,False
4,2,100000,2771.472,236,219,461,167,3731971,1,0,100000,3731971,0,False
4,3,100000,2708.518,227,207,440,162,3731971,1,0,100000,3731971,0,False
4,4,100000,2635.279,227,204,437,149,3731971,1,0,100000,3731971,0,False
4,5,100000,3644.613,258,206,471,173,3731971,1,0,100000,3731971,0,False
