escenario,ejecucion,filas,cliente_ms,execution_time_ms,compilation_time_ms,total_time_ms,task_total_time_ms,read_bytes,read_files_count,pruned_files_count,rows_read_count,read_cache_bytes,read_remote_bytes,result_from_cache
1,1,100000,1781.243,101,192,300,123,5183720,8,0,100000,5183720,0,False
1,2,100000,1844.833,99,199,303,153,5183720,8,0,100000,5183720,0,False
1,3,100000,1860.494,96,210,313,98,5183720,8,0,100000,5183720,0,False
1,4,100000,1847.276,109,210,325,106,5183720,8,0,100000,5183720,0,False
1,5,100000,1843.602,97,296,399,123,5183720,8,0,100000,5183720,0,False
2,1,100000,1783.98,89,169,264,109,5183720,8,0,100000,5183720,0,False
2,2,100000,1742.769,88,206,299,102,5183720,8,0,100000,5183720,0,False
2,3,100000,2060.325,94,242,342,128,5183720,8,0,100000,5183720,0,False
2,4,100000,1765.245,81,189,276,100,5183720,8,0,100000,5183720,0,False
2,5,100000,1817.843,86,203,298,96,5183720,8,0,100000,5183720,0,False
3,1,100000,1947.197,85,279,370,98,381970,8,472,100000,381970,0,False
3,2,100000,1675.839,90,167,264,71,381970,8,472,100000,381970,0,False
3,3,100000,1971.739,89,179,273,118,381970,8,472,100000,381970,0,False
3,4,100000,1910.63,67,157,230,70,381970,8,472,100000,381970,0,False
3,5,100000,1850.953,76,191,273,72,381970,8,472,100000,381970,0,False
4,1,100000,2771.321,253,229,488,171,3731971,1,0,100000,3731971,0,False
4,2,100000,2581.557,206,260,473,146,3731971,1,0,100000,3731971,0,False
4,3,100000,2631.947,260,210,476,200,3731971,1,0,100000,3731971,0,False
4,4,100000,2680.173,214,218,438,151,3731971,1,0,100000,3731971,0,False
4,5,100000,2519.086,216,191,414,149,3731971,1,0,100000,3731971,0,False
