escenario,ejecucion,filas,cpu_ms,elapsed_ms,lecturas_logicas,compilacion_cpu_ms,compilacion_elapsed_ms,cliente_ms,planes_expulsados,execution_count,last_worker_time,last_elapsed_time,last_logical_reads,last_physical_reads,last_rows
1,1,100000,118,112,16130,1,1,311.152,11,1,136585,112911,16137,0,100000
1,2,100000,111,84,16130,2,2,316.109,8,1,137416,84038,16137,0,100000
1,3,100000,127,113,16130,2,2,323.672,8,1,144317,113540,16137,0,100000
1,4,100000,126,116,16130,1,1,319.881,8,1,147117,116581,16137,0,100000
1,5,100000,117,78,16130,1,1,310.672,8,1,140050,78311,16137,0,100000
2,1,100000,96,71,16130,3,3,323.473,14,1,126225,71717,16137,0,100000
2,2,100000,106,93,16130,2,2,423.546,9,1,114076,93259,16137,0,100000
2,3,100000,103,80,16130,2,2,320.658,9,1,121273,79979,16137,0,100000
2,4,100000,109,77,16130,2,2,320.766,9,1,124616,74024,16137,0,100000
2,5,100000,94,64,16130,2,2,312.049,9,1,115055,64316,16137,0,100000
3,1,100000,94,65,16130,3,3,314.731,11,1,104501,61971,16137,0,100000
3,2,100000,94,64,16130,2,2,314.098,8,1,116154,64490,16137,0,100000
3,3,100000,98,67,16130,3,3,312.313,8,1,112273,67094,16137,0,100000
3,4,100000,86,65,16130,2,2,306.99,8,1,106025,65118,16137,0,100000
3,5,100000,94,64,16130,3,3,317.054,8,1,109391,64084,16137,0,100000
4,1,100000,28,45,1733,2,2,306.031,12,1,45617,45620,1733,0,100000
4,2,100000,18,50,1733,2,2,305.98,9,1,50438,50566,1733,0,100000
4,3,100000,26,37,1733,1,1,306.987,9,1,33660,33661,1733,0,100000
4,4,100000,28,45,1733,1,1,307.636,9,1,45288,45290,1733,0,100000
4,5,100000,23,44,1733,1,1,310.172,9,1,40359,40362,1733,0,100000
